Timestamp,Ch0_Alpha,Ch0_Beta,Ch0_Gamma,Ch1_Alpha,Ch1_Beta,Ch1_Gamma,Ch2_Alpha,Ch2_Beta,Ch2_Gamma,Ch3_Alpha,Ch3_Beta,Ch3_Gamma
1733461980.5650287,9998.4765625,40020.390625,29989.48828125,9897.71875,40139.90625,29986.3359375,9989.8984375,40009.265625,29995.921875,9989.5,40015.296875,29999.4609375
1733461980.5975947,10018.84375,39974.90625,30002.82421875,9944.8046875,39819.21875,29951.35546875,9995.78125,39984.96875,29998.06640625,9997.09375,39983.703125,29988.9609375
1733461980.6311183,9943.1171875,40020.15625,29999.89453125,9583.7265625,40212.34375,29959.98046875,9972.578125,40007.765625,29994.15234375,9969.6484375,40014.453125,30008.49609375
1733461980.6533859,10006.3984375,39990.75,30000.22265625,10475.4765625,,,,,,,,
1733461980.6664495,,,,,39805.4375,29998.3828125,10028.6875,39995.21875,30006.99609375,10027.5625,39988.34375,29993.8125
1733461980.677969,10048.2578125,,,,,,,,,,,
1733461980.689482,,39990.03125,30001.41796875,10350.859375,40057.59375,30042.05859375,10027.421875,40003.6875,29997.8671875,10030.3984375,40001.140625,30000.48046875
1733461980.711509,10000.984375,40007.3125,29992.546875,9686.0078125,40065.234375,30045.22265625,9969.90625,40003.03125,29997.57421875,9979.09375,40007.109375,30001.41796875
1733461980.7449806,9947.828125,40014.734375,30007.27734375,9681.5546875,40064.640625,29984.7890625,9983.96875,39990.078125,30002.296875,9971.2421875,40000.296875,
1733461980.7589831,,,,,,,,,,,,30004.51171875
1733461980.7805302,10018.7734375,39964.078125,29990.8359375,10259.828125,39749.6875,29989.27734375,10006.65625,,,,,
1733461980.7960408,,,,,,,,40000.203125,29993.19140625,10016.7578125,39980.59375,29999.4140625
1733461980.8080459,9989.359375,40024.09375,30000.375,9989.125,40195.828125,29943.84375,10006.7734375,39993.59375,29999.89453125,10000.6796875,40010.578125,29995.8515625
1733461980.8393424,10004.125,39978.15625,30003.0703125,9930.53125,39903.953125,29983.65234375,9992.0078125,40005.0,30007.69921875,9989.0546875,39996.828125,29997.94921875
1733461980.8723626,9992.734375,40009.6875,30007.88671875,9959.8515625,40078.578125,30011.68359375,9989.3828125,39996.5,29993.12109375,9999.390625,40000.890625,30001.72265625
1733461980.8944879,9997.2109375,40002.5625,29996.1796875,10146.25,39923.3125,30051.92578125,10013.5703125,39993.21875,30003.1640625,10007.5,40000.296875,30004.2890625
